Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Marc-André ter Stegen,Goalkeeper,32,FC Barcelona,187,right,40,0,28000000,Germany,1.87
Manuel Neuer,Goalkeeper,38,Bayern Munich,193,right,119,0,4000000,Germany,1.93
Oliver Baumann,Goalkeeper,34,TSG 1899 Hoffenheim,187,right,0,0,3000000,Germany,1.87
Nico Schlotterbeck,Centre-Back,24,Borussia Dortmund,191,left,12,0,40000000,Germany,1.91
Jonathan Tah,Centre-Back,28,Bayer 04 Leverkusen,195,right,25,0,30000000,Germany,1.95
Antonio Rüdiger,Centre-Back,31,Real Madrid,190,right,69,3,25000000,Germany,1.9
Waldemar Anton,Centre-Back,27,VfB Stuttgart,189,right,2,0,20000000,Germany,1.89
Robin Koch,Centre-Back,27,Eintracht Frankfurt,191,right,9,0,18000000,Germany,1.91
David Raum,Left-Back,26,RB Leipzig,180,left,21,0,20000000,Germany,1.8
Maximilian Mittelstädt,Left-Back,27,VfB Stuttgart,180,left,4,1,17000000,Germany,1.8
Joshua Kimmich,Right-Back,29,Bayern Munich,177,right,86,6,50000000,Germany,1.77
Benjamin Henrichs,Right-Back,27,RB Leipzig,185,right,15,0,20000000,Germany,1.85
Aleksandar Pavlovic,Defensive Midfield,20,Bayern Munich,188,both,1,0,30000000,Germany,1.88
Robert Andrich,Defensive Midfield,29,Bayer 04 Leverkusen,187,right,5,0,17000000,Germany,1.87
İlkay Gündoğan,Central Midfield,33,FC Barcelona,180,right,77,18,15000000,Germany,1.8
Toni Kroos,Central Midfield,34,Real Madrid,183,right,109,17,10000000,Germany,1.83
Pascal Groß,Central Midfield,32,Brighton & Hove Albion,181,right,7,1,8000000,Germany,1.81
Florian Wirtz,Attacking Midfield,21,Bayer 04 Leverkusen,177,right,18,1,130000000,Germany,1.77
Jamal Musiala,Attacking Midfield,21,Bayern Munich,184,right,29,2,120000000,Germany,1.84
Kai Havertz,Attacking Midfield,24,Arsenal FC,193,left,46,16,70000000,Germany,1.93
Chris Führich,Left Winger,26,VfB Stuttgart,181,right,4,0,28000000,Germany,1.81
Leroy Sané,Right Winger,28,Bayern Munich,183,left,60,13,70000000,Germany,1.83
Thomas Müller,Second Striker,34,Bayern Munich,185,right,129,45,8000000,Germany,1.85
Maximilian Beier,Centre-Forward,21,TSG 1899 Hoffenheim,185,right,1,0,30000000,Germany,1.85
Deniz Undav,Centre-Forward,27,VfB Stuttgart,179,right,2,0,25000000,Germany,1.79
Niclas Füllkrug,Centre-Forward,31,Borussia Dortmund,189,right,16,11,15000000,Germany,1.89
Angus Gunn,Goalkeeper,28,Norwich City,196,right,7,0,2500000,Scotland,1.96
Liam Kelly,Goalkeeper,28,Motherwell FC,184,right,1,0,800000,Scotland,1.84
Zander Clark,Goalkeeper,31,Heart of Midlothian FC,191,right,3,0,700000,Scotland,1.91
Scott McKenna,Centre-Back,27,FC Copenhagen,189,left,33,1,10000000,Scotland,1.89
Jack Hendry,Centre-Back,29,Al-Ettifaq FC,192,right,24,3,3000000,Scotland,1.92
Ryan Porteous,Centre-Back,25,Watford FC,188,right,6,0,3000000,Scotland,1.88
Liam Cooper,Centre-Back,32,Leeds United,186,left,17,0,1000000,Scotland,1.86
Grant Hanley,Centre-Back,32,Norwich City,188,right,48,2,900000,Scotland,1.88
Andrew Robertson,Left-Back,30,Liverpool FC,178,left,69,3,30000000,Scotland,1.78
Kieran Tierney,Left-Back,27,Real Sociedad,180,left,43,1,12000000,Scotland,1.8
Greg Taylor,Left-Back,26,Celtic FC,171,left,11,0,7500000,Scotland,1.71
Anthony Ralston,Right-Back,25,Celtic FC,178,right,6,1,1800000,Scotland,1.78
Ross McCrorie,Right-Back,26,Bristol City,187,right,0,0,1800000,Scotland,1.87
Scott McTominay,Defensive Midfield,27,Manchester United,191,right,41,6,32000000,Scotland,1.91
Billy Gilmour,Defensive Midfield,22,Brighton & Hove Albion,170,right,19,1,18000000,Scotland,1.7
John McGinn,Central Midfield,29,Aston Villa,178,left,57,17,30000000,Scotland,1.78
Callum McGregor,Central Midfield,30,Celtic FC,178,left,53,2,8500000,Scotland,1.78
Stuart Armstrong,Central Midfield,32,Southampton FC,183,right,44,2,2000000,Scotland,1.83
Ryan Jack,Central Midfield,32,Rangers FC,182,right,15,0,1000000,Scotland,1.82
Kenny McLean,Central Midfield,32,Norwich City,180,left,32,2,900000,Scotland,1.8
Ryan Christie,Attacking Midfield,29,AFC Bournemouth,178,left,40,5,12000000,Scotland,1.78
Lewis Morgan,Left Winger,27,New York Red Bulls,178,both,2,0,4000000,Scotland,1.78
James Forrest,Right Winger,32,Celtic FC,175,right,38,5,1000000,Scotland,1.75
Ché Adams,Centre-Forward,27,Southampton FC,179,right,25,6,15000000,Scotland,1.79
Lawrence Shankland,Centre-Forward,28,Heart of Midlothian FC,185,right,9,2,4000000,Scotland,1.85
Tommy Conway,Centre-Forward,21,Bristol City,185,right,0,0,4000000,Scotland,1.85
Péter Gulácsi,Goalkeeper,34,RB Leipzig,190,right,53,0,3000000,Hungary,1.9
Dénes Dibusz,Goalkeeper,33,Ferencvárosi TC,188,right,36,0,2500000,Hungary,1.88
Péter Szappanos,Goalkeeper,33,Paksi FC,194,right,1,0,500000,Hungary,1.94
Willi Orbán,Centre-Back,31,RB Leipzig,186,right,43,6,10000000,Hungary,1.86
Attila Szalai,Centre-Back,26,SC Freiburg,192,left,43,1,4000000,Hungary,1.92
Márton Dárdai,Centre-Back,22,Hertha BSC,188,left,3,0,2500000,Hungary,1.88
Botond Balogh,Centre-Back,22,Parma Calcio 1913,189,right,4,0,1800000,Hungary,1.89
Ádám Lang,Centre-Back,31,Omonia Nicosia,186,right,68,2,450000,Hungary,1.86
